zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,fax,trailingPegRatio,address2
33309,Technology,,"Citrix Systems, Inc., an enterprise software company, provides workspace, app delivery and security, and professional services worldwide. The company offers workspace services, including Citrix Workspace; Citrix Virtual Apps and Desktops; Collaborative Work Management; Citrix Content Collaboration, a cloud-based file sharing, digital transaction, and storage solution, which provides enterprise-class data services on various corporate and personal mobile devices; Citrix Analytics for Security that assesses the behavior of Citrix Virtual Apps and Desktops, and Citrix Workspace users and applies actions to protect sensitive corporate information; Citrix Analytics for Performance, which uses machine learning to quantify user experience; Citrix Secure Workspace Access that provides an end-to-end solution to implement Zero Trust principles; and Citrix Secure Internet Access, which provides a solution that protects direct internet access for branch and remote workers using unsanctioned apps. It also provides Citrix ADC that offers application delivery controller, on-premise, in-cloud, and SaaS deployment option solutions. In addition, the company provides customer services, hardware maintenance, consulting, and product training and certification services. The company serves healthcare, financial services, technology, manufacturing, consumer, and government agencies. It markets and licenses its products through resellers, distributors, systems integrators, independent software vendors, original equipment manufacturers, and service providers. The company was formerly known as Citrus Systems, Inc. and changed its name to Citrix Systems, Inc. in March 2009. Citrix Systems, Inc. was incorporated in 1989 and is headquartered in Fort Lauderdale, Florida.",Fort Lauderdale,954 267 3000,FL,United States,[],https://www.citrix.com,1.0,851 West Cypress Creek Road,Software—Application,0.17896,0.09558,0.83411,671651008.0,0.051,0.11682,575734016.0,75.0,hold,2683488000.0,881596224.0,101.0,100.74,-0.091,0.73,0.03959,14.0,98.73,648.57,0.93266,120.0,527179008.0,3549347072.0,3217169920.0,4.199,USD,25.921,0.62,3.0,NMS,"Citrix Systems, Inc.","Citrix Systems, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,CTXS,,,finmb_26524,2a2113bf-2c4e-3ae7-a455-27e94f21ccc7,us_market,,4.89,,27.324,,,5.25,,124723000.0,,,,3.208,3151151.0,0.0251,,1640908800.0,1.02103,307499008.0,2.518,,,31.402742,0.00815,1703980800.0,,1640908800.0,0.91,1642118400.0,124464166.0,0.030511,15731483648.0,2.0,,1485907200,12558:10000,,,,-0.082,3.9054806,1644883200.0,3.05,,19.188572,,0.0321,5171945.0,,,,101.11,101.02,101.7017,0.01443972,0.6066,,101.11,,2858990.0,101.11,101.2002,1.46,101.02,,2858990.0,,,1.48,1638748800,,,100.0,USD,40.007942,6851321.0,,,,12564594688.0,,,2831637.0,100.0,100.91,2200.0,6851321.0,144.47,,,78.07,90.0,False,0.0146,3100.0,101.11,100.74,,https://logo.clearbit.com/citrix.com,,,
60606,Financial Services,4370.0,"CME Group Inc., together with its subsidiaries, operates contract markets for the trading of futures and options on futures contracts worldwide. It offers futures and options products based on interest rates, equity indexes, foreign exchange, agricultural commodities, energy, and metals, as well as fixed income products through its electronic trading platforms, open outcry, and privately negotiated transactions. The company also provides clearing for exchange-traded contracts and cleared swaps, as well as settlement services; and transaction lifecycle management services, such as trade and portfolio management, financial resource optimization, regulatory reporting, and trade processing. In addition, the company offers a range of market data services, including real-time and historical data services. It serves professional traders, financial institutions, institutional and individual investors, corporations, manufacturers, producers, governments, and central banks. The company has strategic partnership with B3 S.A. to develop risk management products for Brazilian domestic and international market participants. The company was formerly known as Chicago Mercantile Exchange Holdings Inc. and changed its name to CME Group Inc. in July 2007. CME Group Inc. was founded in 1898 and is headquartered in Chicago, Illinois.",Chicago,312-930-1000,IL,United States,[],https://www.cmegroup.com,1.0,20 South Wacker Drive,Financial Data & Stock Exchanges,0.64274,0.52596,1.0,2394400000.0,0.028,0.55389,2975899904.0,190.0,hold,4870300000.0,1755924992.0,234.5,249.6,1.243,1.008,0.01026,16.0,233.0,14.81,0.08975001,267.0,1569699968.0,4040499968.0,4630000128.0,4.368,USD,12.926,0.014,2.6,NMS,CME Group Inc.,CME Group Inc.,America/New_York,EDT,True,-14400000,,EQUITY,CME,,,finmb_2004577,c421a6cf-607d-361f-b7c7-1a6ed21c7031,us_market,,18.054,,28.089,,,7.33,,359396000.0,,,,76.084,4039940.0,0.0112,,1609372800.0,0.87774,2435200000.0,6.78,,,3.2805848,0.0044,1672444800.0,,1632960000.0,3.07,1636934400.0,358080312.0,0.462747,83590815744.0,2.0,,1343001600,5:1,,,,1.25,19.374945,1639526400.0,6.61,,34.05184,,0.0113,4575662.0,,,,246.28,249.09,217.53105,0.014414487,0.5236,,251.24,,1809990.0,246.28,233.5704,3.55,249.09,,1809990.0,,,3.6,1640563200,,,246.715,USD,36.81416,2849059.0,,,,89705996288.0,,,1665567.0,246.715,249.59,3200.0,2849059.0,256.94,,1.72,185.79,249.13,False,0.0159,800.0,251.24,249.6,,https://logo.clearbit.com/cmegroup.com,,,
07666,Technology,330600.0,"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally. It operates through four segments: Financial Services; Healthcare; Products and Resources; and Communications, Media and Technology. The company offers customer experience enhancement, robotic process automation, analytics, and AI services in areas, such as digital lending, fraud detection, and next generation payments; the shift towards consumerism, outcome-based contracting, digital health, delivering integrated seamless, omni-channel, and patient-centered experience; and services that drive operational improvements in areas, such as clinical development, pharmacovigilance, and manufacturing, as well as claims processing, enrollment, membership, and billing to healthcare providers and payers, and life sciences companies, including pharmaceutical, biotech, and medical device companies. It also provides solution to manufacturers, retailers and travel and hospitality companies, as well as companies providing logistics, energy and utility services; and digital content, the creation of personalized user experience, and acceleration of digital engineering services to information, media and entertainment, and communications and technology companies. The company was founded in 1994 and is headquartered in Teaneck, New Jersey.",Teaneck,201 801 0233,NJ,United States,[],https://www.cognizant.com,1.0,300 Frank West Burr Boulevard,Information Technology Services,0.18090001,0.11547,0.37359002,2495000064.0,0.142,0.15167,3348000000.0,58.5,buy,6914000000.0,1801750016.0,91.0,91.72,0.846,2.08,0.1009,21.0,87.26,13.802,0.18722999,100.0,2719000064.0,1655000064.0,18506999808.0,5.184,USD,35.118,1.866,2.4,NMS,Cognizant Technology Solutions ,Cognizant Technology Solutions Corporation,America/New_York,EDT,True,-14400000,,EQUITY,CTSH,,,finmb_386024,5d982cfb-cda3-3368-83e4-4d2610bc5294,us_market,,2.382,,13.168,,,4.52,,525252000.0,,,,21.992,4990193.0,0.0095,,1640908800.0,0.94595003,2136999936.0,3.545,,,4.1706076,0.00119,1703980800.0,,1640908800.0,1.69,1640908800.0,523664100.0,1.138736,44087959552.0,2.0,,1394409600,2:1,,,,0.823,2.6332963,1643587200.0,1.61,,20.292036,,0.0095,7289694.0,,,,90.58,90.42,79.1379,0.010377566,0.237,,91.79,,3648220.0,90.58,87.0564,0.94,90.42,,3648220.0,,,1.08,1645056000,,,89.31,USD,25.87306,4430123.0,,,,48734412800.0,,,3060343.0,89.31,92.0,800.0,4430123.0,92.44,,,66.19,91.95,False,0.0128,900.0,91.79,91.72,,https://logo.clearbit.com/cognizant.com,,,
19103-2838,Communication Services,168000.0,"Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications, Cable Networks, Broadcast Television, Filmed Entertainment, Theme Parks, and Sky segments. The Cable Communications segment offers cable services, including high-speed Internet, video, voice, wireless, and security and automation services to residential and business customers under the Xfinity brand, as well as sells advertising. The Cable Networks segment operates national cable networks that provide various entertainment, news and information, and sports content; regional sports and news networks; international cable networks; and various digital properties, including brand-aligned Websites, as well as engages in the cable television studio production operations. The Broadcast Television segment operates NBC and Telemundo broadcast networks, NBC and Telemundo local broadcast television stations, broadcast television studio production operations, and various digital properties. The Filmed Entertainment segment produces, acquires, markets, and distributes filmed entertainment under the Universal Pictures, Illumination, DreamWorks Animation, and Focus Features names. It also develops, produces, and licenses stage plays; and distributes filmed entertainment produced by third parties. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; and Osaka, Japan. The Sky segment offers direct-to-consumer services, such as video, high-speed Internet, voice, and wireless phone services; and content services comprising operating entertainment networks, the Sky News broadcast network, and Sky Sports networks. The company also owns the Philadelphia Flyers, as well as the Wells Fargo Center arena in Philadelphia, Pennsylvania; and provides streaming service, such as Peacock. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.",Philadelphia,215 286 1700,PA,United States,[],https://corporate.comcast.com,1.0,One Comcast Center,Entertainment,0.2935,0.12731,0.66587996,26499000320.0,0.187,0.17506,33387999232.0,46.0,buy,70443000000.0,10249124864.0,64.0,46.91,0.955,1.026,0.04559,34.0,63.54,104.661,0.15312,75.0,11806000128.0,102385999872.0,113757003776.0,2.584,USD,24.781,0.889,2.1,NMS,Comcast Corporation,Comcast Corporation,America/New_York,EDT,True,-14400000,,EQUITY,CMCSA,,,finmb_173341,a2a4a9fb-fa19-3b96-b114-1a9bb23a7386,us_market,,2.868,,9.772,,,3.69,,4559479808.0,,,,20.964,66451516.0,0.0145000005,,1609372800.0,0.8554,14481999872.0,3.109,,,2.2376454,0.00676,1672444800.0,,1632960000.0,2.67,1638230400.0,4527619981.0,0.944247,326278709248.0,2.0,,1487635200,2:1,,,,0.999,1.8840865,1640908800.0,0.87,,12.712737,,0.0147,65867190.0,,,,46.48,46.31,53.5398,0.021084338,0.3151,,46.97,,22575640.0,46.48,48.2168,0.98,46.31,,22575640.0,,,1,1641254400,,,45.935,USD,15.088453,34709842.0,,,,214328033280.0,,,22891687.0,45.935,47.0,1000.0,34709842.0,61.8,,1.82,44.27,46.76,False,0.0196,3200.0,46.97,46.91,,https://logo.clearbit.com/corporate.comcast.com,215 286 7794,,1701 John F. Kennedy Boulevard
75254,Industrials,8600.0,"Copart, Inc. provides online auctions and vehicle remarketing services in the United States, Canada, the United Kingdom, Brazil, the Republic of Ireland, Germany, Finland, the United Arab Emirates, Oman, Bahrain, and Spain. It offers a range of services for processing and selling vehicles over the internet through its virtual bidding third generation internet auction-style sales technology to vehicle sellers, insurance companies, banks and finance companies, charities, fleet operators, dealers, vehicle rental companies, and individuals. The company's services include online seller access, salvage estimation, estimating, end-of-life vehicle processing, virtual insured exchange, transportation, vehicle inspection stations, on-demand reporting, title processing and procurement, loan payoff, flexible vehicle processing programs, buy it now, member network, sales process, and dealer services. Its services also comprise services to sell vehicles through CashForCars.com; U-Pull-It service that allows buyer to remove valuable parts and sell the remaining parts and car body; copart 360, an online technology for posting vehicle images; membership tiers for those registering to buy vehicles through Copart.com; and virtual queue to secure a place in line while visiting one of its locations. The company sells its products principally to licensed vehicle dismantlers, rebuilders, repair licensees, used vehicle dealers, and exporters, as well as to the public. The company was incorporated in 1982 and is headquartered in Dallas, Texas.",Dallas,972 391 5000,TX,United States,[],https://www.copart.com,1.0,14185 Dallas Parkway,Specialty Business Services,0.45818,0.3425,0.50374,1044897984.0,0.366,0.41858003,1333164032.0,145.0,buy,1377451000.0,412767360.0,170.0,129.24,0.301,4.147,0.1758,9.0,169.56,14.059,0.30642,182.0,1298372992.0,533396000.0,2909702912.0,5.474,USD,12.299,2.877,1.8,NMS,"Copart, Inc.","Copart, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,CPRT,,,finmb_27023,7fe951d1-c435-3280-90e1-fd9acd8a4f0d,us_market,,11.031,,24.076,,,4.62,,237188000.0,,,,15.995,1953924.0,0.0082,,1627689600.0,0.82938004,996572992.0,4.15,,,8.080026,0.1038,1690761600.0,,1635638400.0,2.27,1638230400.0,213296467.0,1.054738,32097484800.0,2.0,,1491868800,2:1,,,,0.3,10.535158,1640908800.0,1.52,,27.974028,,0.0092,1743543.0,,,,127.6,127.14,139.08556,,0.0,,129.93,,1832750.0,127.6,125.9738,,127.14,,1832750.0,,,,,,,125.58,USD,31.14217,2266877.0,,,,30654179328.0,,,1257567.0,125.58,129.32,800.0,2266877.0,161.12,,,104.09,129.36,False,,800.0,129.93,129.24,,https://logo.clearbit.com/copart.com,469 791 9009,,Suite 300
28277-3607,Healthcare,15000.0,"DENTSPLY SIRONA Inc. designs, develops, manufactures, distributes, and sells various dental products and technologies primarily for professional dental market worldwide. The company operates in two segments, Technologies & Equipment; and Consumables. Its dental supplies include endodontic instruments and materials, dental anesthetics, prophylaxis pastes, dental sealants, impression and restorative materials, tooth whiteners, and topical fluoride products; and small equipment products comprise intraoral curing light systems, dental diagnostic systems, and ultrasonic scalers and polishers. The company also offers dental laboratory products, such as dental prosthetics that include artificial teeth, precious metal dental alloys, dental ceramics, and crown and bridge materials; and laboratory-based CAD/CAM milling systems, amalgamators, mixing machines, and porcelain furnaces. In addition, it provides dental technology products, including dental implants and related scanning equipment, and treatment software; orthodontic clear aligners and appliances for dental practitioners and specialist; and dental equipment, such as treatment centers, imaging equipment, dental handpieces, and computer aided design and machining systems for dental practitioners. Further, the company offers healthcare consumable products, such as urology catheters, medical drills, and other non-medical products. It markets and sells dental products through distributors, dealers, and importers; dental hygienists, assistants, laboratories, and schools; and urology products directly to patients, as well as through distributors to urologists, continence care nurses, general practitioners, and direct-to-patients. The company was formerly known as DENTSPLY International Inc. and changed its name to DENTSPLY SIRONA Inc. in February 2016. DENTSPLY SIRONA Inc. was founded in 1899 and is headquartered in Charlotte, North Carolina.",Charlotte,844 848 0137,NC,United States,[],https://www.dentsplysirona.com,1.0,13320-B Ballantyne Corporate Place,Medical Instruments & Supplies,0.23438999,0.09847,0.55288,698000000.0,0.194,0.15241,995000000.0,60.0,buy,1701000000.0,538000000.0,69.0,48.66,0.938,1.602,0.04448,12.0,69.42,43.317,0.08455,79.0,284000000.0,2220000000.0,4244999936.0,1.299,USD,19.419,0.917,2.1,NMS,DENTSPLY SIRONA Inc.,DENTSPLY SIRONA Inc.,America/New_York,EDT,True,-14400000,,EQUITY,XRAY,,,finmb_27504,b120cb46-16a2-3b25-a348-9a0c7d1d483b,us_market,,3.401,,14.512,,,3.19,,218607008.0,,,,23.431,2363353.0,0.0108,,1609372800.0,0.9946,418000000.0,1.902,,,2.076736,0.00347,1672444800.0,,1632960000.0,1.05,1636934400.0,217632039.0,0.908051,14438949888.0,2.0,,1153180800,2:1,,,,0.943,2.5058699,1639526400.0,0.79,,15.253919,,0.012200001,1436180.0,,,,48.76,48.42,57.6347,0.008613618,0.2211,,48.86,,3015310.0,48.76,53.2352,0.42,48.42,,3015310.0,,,0.44,1640822400,,,47.9,USD,25.583597,6863574.0,,,,10637417472.0,,,1982004.0,47.9,49.82,800.0,6863574.0,69.54,,0.71,47.4,48.51,False,0.0077,2900.0,48.86,48.66,,https://logo.clearbit.com/dentsplysirona.com,,,
92121,Healthcare,5500.0,"DexCom, Inc., a medical device company, focuses on the design, development, and commercialization of continuous glucose monitoring (CGM) systems in the United States and internationally. The company offers its systems for use by people with diabetes, as well as for use by healthcare providers. Its products include DexCom G6, an integrated CGM system for diabetes management; Dexcom G7, a next generation G7 CGM system; and Dexcom Share, a remote monitoring system. DexCom, Inc. has a collaboration and license agreement with Verily Life Sciences LLC and Verily Ireland Limited to develop next-generation CGM products. The company markets its products directly to endocrinologists, physicians, and diabetes educators. DexCom, Inc. was founded in 1999 and is headquartered in San Diego, California.",San Diego,858 200 0200,CA,United States,[],https://www.dexcom.com,1.0,6340 Sequence Drive,Medical Devices,0.19278,0.22823,0.69291,508700000.0,0.298,0.15919,447100000.0,575.0,buy,1280100000.0,-89262496.0,630.0,468.05,-0.027,4.975,0.05361,16.0,639.75,88.175,0.29119,750.0,2697900032.0,1883500032.0,2319200000.0,27.836,USD,24.033,4.391,1.8,NMS,"DexCom, Inc.","DexCom, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,DXCM,,,finmb_114039,3ae7c86d-714e-392b-b6fd-23c89f3c2654,us_market,,21.057,,109.228,,,3.62,,96922000.0,,,,22.044,3114827.0,0.0321,,1609372800.0,0.98017997,529300000.0,5.302,,,21.232534,0.0044,1672444800.0,,1632960000.0,3.38,1636934400.0,96412224.0,0.792207,48835850240.0,2.0,,,,,,,-0.018,19.56034,1639526400.0,9.92,,129.29558,,0.0361,3650248.0,,,,454.73,455.29,498.2386,,0.0,,469.43,,923200.0,454.73,424.8408,,455.29,,923200.0,,,,,,,450.0,USD,88.27801,1010166.0,,,,45364342784.0,,,851054.0,450.0,475.0,800.0,1010166.0,659.45,,,318.45,468.99,False,,900.0,469.43,468.05,,https://logo.clearbit.com/dexcom.com,,,
10003,Communication Services,11000.0,"Discovery, Inc., a media company, provides content across various distribution platforms in approximately 50 languages worldwide. It operates in two segments, U.S. Networks and International Networks. The company owns and operates various television networks under the Discovery Channel, HGTV, Food Network, TLC, Animal Planet, Investigation Discovery, Travel Channel, Science, MotorTrend, Discovery en EspaÃ±ol, Discovery Familia, Eurosport, TVN, Discovery Kids, Discovery Family, American Heroes Channel, Destination America, Discovery Life, DIY Network, Cooking Channel, Great American Country, ID, the Oprah Winfrey Network, Eurosport, DMAX, and Discovery Home & Health brands, as well as other regional television networks. Its content spans genres, including survival, natural history, exploration, sports, general entertainment, home, food, travel, heroes, adventure, crime and investigation, health, and kids. The company also operates production studios that develop and produce content; and digital products and Websites. It provides content through various distribution platforms comprising pay-television, free-to-air and broadcast television, authenticated GO applications, digital distribution arrangements, content licensing agreements, and direct-to-consumer subscriptions, as well as various platforms that include brand-aligned Websites, online streaming, mobile devices, video on demand, and broadband channels. The company was founded in 1985 and is headquartered in New York, New York.",New York,240 662 2000,NY,United States,[],https://corporate.discovery.com,1.0,230 Park Avenue South,Entertainment,0.29981002,0.08252,0.62144,2798000128.0,0.104,0.17004,3655000064.0,26.0,hold,7576000000.0,6994500096.0,36.0,26.26,-0.622,2.1,0.03782,19.0,37.95,116.811,0.09287,61.0,4115000064.0,15648000000.0,12190999552.0,6.412,USD,21.002,1.897,2.6,NMS,"Discovery, Inc. - Series A","Discovery, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,DISCA,,,finmb_22666093,09ec2f11-725f-3463-b6ff-96ace0509792,us_market,,2.603,,8.683,,,3.2,,169284992.0,,,,17.714,30263674.0,0.0598,,1640908800.0,1.12515,912000000.0,1.495,,,1.4824432,0.02868,1703980800.0,,1640908800.0,3.18,1642118400.0,464812109.0,1.154035,31737128960.0,2.0,,1407369600,1957:1000,,,,-0.86,1.0712554,1644883200.0,2.75,,8.20625,,0.18540001,34943607.0,,,,25.71,25.54,27.1629,,0.0,,26.35,,8156460.0,25.71,27.7136,,25.54,,8156460.0,,,,,,,25.35,USD,17.565218,6929472.0,,,,13059675136.0,,,9223030.0,25.35,26.6,2200.0,6929472.0,78.08,,,21.66,26.27,False,,3000.0,26.35,26.26,,https://logo.clearbit.com/corporate.discovery.com,,,
80112,Communication Services,13500.0,"DISH Network Corporation, together with its subsidiaries, provides pay-TV services in the United States. The company operates in two segments, Pay-TV and Wireless. It offers video services under the DISH TV brand; and programming packages that include programming through national broadcast networks, local broadcast networks, and national and regional cable networks, as well as regional and specialty sports channels, premium movie channels, and Latino and international programming packages. The company also provides access to movies and television shows through TV or Internet-connected devices; and dishanywhere.com and mobile applications on Internet-connected devices to view authorized content, search program listings, and remotely control certain features of their DVRs. In addition, it offers Sling TV services, including Sling domestic, Sling International, Sling Latino, Sling Orange, and Sling Blue services that require an Internet connection and are available on streaming-capable devices, such as streaming media devices, TVs, tablets, computers, game consoles, and phones primarily to consumers who do not subscribe to traditional satellite and cable pay-TV services. As of December 31, 2020, it had 11.290 million Pay-TV subscribers in the United States, including 8.816 million DISH TV subscribers and 2.474 million SLING TV subscribers. The company offers receiver systems and programming through direct sales channels, as well as independent third parties, such as small retailers, direct marketing groups, local and regional consumer electronics stores, retailers, and telecommunications companies. DISH Network Corporation was founded in 1980 and is headquartered in Englewood, Colorado.",Englewood,303-723-1000,CO,United States,[],https://www.dish.com,1.0,9601 South Meridian Boulevard,Entertainment,0.23506,0.14401,0.34765,3853752064.0,-0.018,0.19334999,4229249024.0,28.0,buy,5459707000.0,947998656.0,47.5,31.65,0.023,1.154,0.05624,18.0,49.61,111.333,0.18503,88.0,5247822848.0,17076376576.0,17991813120.0,9.924,USD,34.131,0.991,2.4,NMS,DISH Network Corporation,DISH Network Corporation,America/New_York,EDT,True,-14400000,,EQUITY,DISH,,,finmb_110001,f712f064-807c-3b14-8fbe-7d0a950d9f07,us_market,,1.671,,7.109,,,2.77,,290366016.0,,,,28.282,24551484.0,0.0464,,1609372800.0,0.86101997,2590945024.0,4.159,,,1.1190864,0.14129,1672444800.0,,1632960000.0,8.42,1636934400.0,251017694.0,2.106493,30063939584.0,2.0,,953769600,2:1,,,,0.104,0.93023324,1639526400.0,-0.37,,11.425993,,0.1142,25416420.0,,,,31.44,31.16,37.8741,,0.0,,31.72,,2335860.0,31.44,31.5688,,31.16,,2335860.0,,,,1355270400,,,30.94,USD,7.6100025,2959720.0,,,,16736582656.0,,,2834554.0,30.94,35.0,2900.0,2959720.0,47.05,,,25.84,31.36,False,,2200.0,31.72,31.65,,https://logo.clearbit.com/dish.com,,,
23320,Consumer Defensive,60217.0,"Dollar Tree, Inc. operates discount variety retail stores. It operates through two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $1.00. It provides consumable merchandise, including candy and food, and health and personal care, as well as everyday consumables, such as household paper and chemicals, and frozen and refrigerated food; variety merchandise comprising toys, durable housewares, gifts, stationery, party goods, greeting cards, softlines, arts and crafts supplies, and other items; and seasonal goods that include Christmas, Easter, Halloween, and Valentine's Day merchandise. This segment operates 7,805 stores under the Dollar Tree and Dollar Tree Canada brands, as well as 15 distribution centers in the United States and two in Canada; and store support centers in Matthews, North Carolina and Chesapeake, Virginia. The Family Dollar segment operates general merchandise retail discount stores that offer consumable merchandise, which comprise food and beverages, tobacco, health and personal care, household chemicals, paper products, hardware and automotive supplies, diapers, batteries, and pet food and supplies; and home products, including housewares, home dÃ©cor, and giftware, as well as domestics, such as comforters, sheets, and towels. Its stores also provides apparel and accessories merchandise comprising clothing, fashion accessories, and shoes; and seasonal and electronics merchandise that include Christmas, Easter, Halloween, and Valentine's Day merchandise, as well as personal electronics, which comprise pre-paid cellular phones and services, stationery and school supplies, and toys. This segment operates 7,880 stores under the Family Dollar brand; and 11 distribution centers. The company was founded in 1986 and is headquartered in Chesapeake, Virginia.",Chesapeake,757 321 5000,VA,United States,[],https://www.dollartree.com,1.0,500 Volvo Parkway,Discount Stores,0.10316,0.05293,0.2985,2001299968.0,0.039,0.07585,2683000064.0,108.0,buy,7824600000.0,837600000.0,155.0,157.17,-0.309,1.252,0.05865,22.0,154.4,134.864,0.19379999,180.0,701400000.0,9770099712.0,26008500224.0,3.118,USD,112.921,0.163,2.5,NMS,"Dollar Tree, Inc.","Dollar Tree, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,DLTR,,,finmb_27685,93813a67-1334-34e6-a70f-a46e06dc4100,us_market,,1.568,,15.199,,,7.47,,224956000.0,,,,32.212,5871784.0,0.026099999,,1611964800.0,0.96997,1376499968.0,5.942,,,4.879237,0.01338,1675036800.0,,1635552000.0,1.29,1636934400.0,221925901.0,0.746071,40778506240.0,2.0,,1340755200,2:1,,,,-0.343,1.3594147,1639526400.0,1.7,,21.040161,,0.0297,8478886.0,,,,155.13,154.06,115.92845,,0.0,,157.8,,3104240.0,155.13,138.595,,154.06,,3104240.0,,,,,,,152.84,USD,26.45069,2636013.0,,,,35356336128.0,,,2557398.0,152.84,157.12,900.0,2636013.0,157.8,,,84.26,156.75,False,,800.0,157.8,157.17,,https://logo.clearbit.com/dollartree.com,,,
95125,Consumer Cyclical,12700.0,"eBay Inc. operates marketplace platforms that connect buyers and sellers worldwide. The company's Marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, sell, and pay for items through various online, mobile, and offline channels that include retailers, distributors, liquidators, import and export companies, auctioneers, catalog and mail-order companies, classifieds, directories, search engines, commerce participants, shopping channels, and networks. eBay Inc. has a strategic partnership with Bidadoo, Inc. to transform heavy equipment industry. The company was founded in 1995 and is headquartered in San Jose, California.",San Jose,408 376 7008,CA,United States,[],https://www.ebayinc.com,1.0,2025 Hamilton Avenue,Internet Retail,0.29798,1.07049,0.72732,3121999872.0,0.108,0.25193,3475000064.0,65.0,buy,7798000000.0,2165750016.0,80.0,56.02,-0.575,3.353,0.07703,26.0,78.49,85.034,0.28445998,91.0,14561000448.0,9306999808.0,11662000128.0,23.26,USD,17.341,2.874,2.5,NMS,eBay Inc.,eBay Inc.,America/New_York,EDT,True,-14400000,,EQUITY,EBAY,,,finmb_27862,6cf6bfa4-6efa-3ac5-bd50-e46cbdb24cb5,us_market,,3.011,,10.106,,,4.52,,626003968.0,,,,17.291,27994808.0,0.044699997,,1609372800.0,0.92336,1972000000.0,18.281,,,3.2398357,0.03967,1672444800.0,,1632960000.0,3.53,1636934400.0,600775829.0,1.118094,35116982272.0,2.0,,1437350400,2376:1000,,,,-0.602,3.007095,1639526400.0,1.31,,12.3938055,,0.0448,34976452.0,,,,55.67,55.1,67.5511,0.012574097,0.2448,,56.67,,10016060.0,55.67,57.9584,0.7,55.1,,10016060.0,,,0.72,1638230400,,,55.1,USD,3.0643837,10588515.0,,,,35068743680.0,,,7410862.0,55.1,56.25,1200.0,10588515.0,81.19,,,49.53,55.8,False,0.0111,800.0,56.67,56.02,,https://logo.clearbit.com/ebayinc.com,408 376 7401,,
