Index,Symbol,Name,Sector
240,HII,Huntington Ingalls Industries,Industrials
241,IBM,IBM,Information Technology
242,IEX,IDEX Corporation,Industrials
243,IDXX,Idexx Laboratories,Health Care
244,INFO,IHS Markit,Industrials
245,ITW,Illinois Tool Works,Industrials
246,ILMN,Illumina,Health Care
247,INCY,Incyte,Health Care
248,IR,Ingersoll Rand,Industrials
249,INTC,Intel,Information Technology
250,ICE,Intercontinental Exchange,Financials
251,IFF,International Flavors & Fragrances,Materials
252,IP,International Paper,Materials
253,IPG,Interpublic Group,Communication Services
254,INTU,Intuit,Information Technology
255,ISRG,Intuitive Surgical,Health Care
256,IVZ,Invesco,Financials
257,IPGP,IPG Photonics,Information Technology
258,IQV,IQVIA,Health Care
259,IRM,Iron Mountain,Real Estate
260,JBHT,J. B. Hunt,Industrials
261,JKHY,Jack Henry & Associates,Information Technology
262,J,Jacobs Engineering Group,Industrials
263,SJM,JM Smucker,Consumer Staples
264,JNJ,Johnson & Johnson,Health Care
265,JCI,Johnson Controls,Industrials
266,JPM,JPMorgan Chase,Financials
267,JNPR,Juniper Networks,Information Technology
268,KSU,Kansas City Southern,Industrials
269,K,Kellogg's,Consumer Staples
270,KEY,KeyCorp,Financials
271,KEYS,Keysight Technologies,Information Technology
272,KMB,Kimberly-Clark,Consumer Staples
273,KIM,Kimco Realty,Real Estate
274,KMI,Kinder Morgan,Energy
275,KLAC,KLA Corporation,Information Technology
276,KHC,Kraft Heinz,Consumer Staples
277,KR,Kroger,Consumer Staples
278,LHX,L3Harris Technologies,Industrials
279,LH,LabCorp,Health Care
280,LRCX,Lam Research,Information Technology
281,LW,Lamb Weston,Consumer Staples
282,LVS,Las Vegas Sands,Consumer Discretionary
283,LEG,Leggett & Platt,Consumer Discretionary
284,LDOS,Leidos,Industrials
285,LEN,Lennar,Consumer Discretionary
286,LNC,Lincoln National,Financials
287,LIN,Linde,Materials
288,LYV,Live Nation Entertainment,Communication Services
289,LKQ,LKQ Corporation,Consumer Discretionary
290,LMT,Lockheed Martin,Industrials
291,L,Loews Corporation,Financials
292,LOW,Lowe's,Consumer Discretionary
293,LUMN,Lumen Technologies,Communication Services
294,LYB,LyondellBasell,Materials
295,MTB,M&T Bank,Financials
296,MRO,Marathon Oil,Energy
297,MPC,Marathon Petroleum,Energy
298,MKTX,MarketAxess,Financials
299,MAR,Marriott International,Consumer Discretionary
300,MMC,Marsh & McLennan,Financials
301,MLM,Martin Marietta Materials,Materials
302,MAS,Masco,Industrials
303,MA,Mastercard,Information Technology
304,MTCH,Match Group,Communication Services
305,MKC,McCormick & Company,Consumer Staples
306,MCD,McDonald's,Consumer Discretionary
307,MCK,McKesson Corporation,Health Care
308,MDT,Medtronic,Health Care
309,MRK,Merck & Co.,Health Care
310,MET,MetLife,Financials
311,MTD,Mettler Toledo,Health Care
312,MGM,MGM Resorts International,Consumer Discretionary
313,MCHP,Microchip Technology,Information Technology
314,MU,Micron Technology,Information Technology
315,MSFT,Microsoft,Information Technology
316,MAA,Mid-America Apartments,Real Estate
317,MRNA,Moderna,Health Care
318,MHK,Mohawk Industries,Consumer Discretionary
319,TAP,Molson Coors Beverage Company,Consumer Staples
320,MDLZ,Mondelez International,Consumer Staples
321,MPWR,Monolithic Power Systems,Information Technology
322,MNST,Monster Beverage,Consumer Staples
323,MCO,Moody's Corporation,Financials
324,MS,Morgan Stanley,Financials
325,MSI,Motorola Solutions,Information Technology
326,MSCI,MSCI,Financials
327,NDAQ,Nasdaq,Financials
328,NTAP,NetApp,Information Technology
329,NFLX,Netflix,Communication Services
330,NWL,Newell Brands,Consumer Discretionary
331,NEM,Newmont,Materials
332,NWSA,News Corp (Class A),Communication Services
333,NWS,News Corp (Class B),Communication Services
334,NEE,NextEra Energy,Utilities
335,NLSN,Nielsen Holdings,Industrials
336,NKE,Nike,Consumer Discretionary
337,NI,NiSource,Utilities
338,NSC,Norfolk Southern,Industrials
339,NTRS,Northern Trust,Financials
340,NOC,Northrop Grumman,Industrials
341,NLOK,NortonLifeLock,Information Technology
342,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
343,NRG,NRG Energy,Utilities
344,NUE,Nucor,Materials
345,NVDA,Nvidia,Information Technology
346,NVR,NVR,Consumer Discretionary
347,NXPI,NXP,Information Technology
348,ORLY,O'Reilly Automotive,Consumer Discretionary
349,OXY,Occidental Petroleum,Energy
350,ODFL,Old Dominion Freight Line,Industrials
351,OMC,Omnicom Group,Communication Services
352,OKE,Oneok,Energy
353,ORCL,Oracle,Information Technology
354,OGN,Organon & Co.,Health Care
355,OTIS,Otis Worldwide,Industrials
356,PCAR,Paccar,Industrials
357,PKG,Packaging Corporation of America,Materials
358,PH,Parker-Hannifin,Industrials
359,PAYX,Paychex,Information Technology
360,PAYC,Paycom,Information Technology
361,PYPL,PayPal,Information Technology
362,PENN,Penn National Gaming,Consumer Discretionary
363,PNR,Pentair,Industrials
364,PBCT,People's United Financial,Financials
365,PEP,PepsiCo,Consumer Staples
366,PKI,PerkinElmer,Health Care
367,PFE,Pfizer,Health Care
368,PM,Philip Morris International,Consumer Staples
369,PSX,Phillips 66,Energy
370,PNW,Pinnacle West Capital,Utilities
371,PXD,Pioneer Natural Resources,Energy
372,PNC,PNC Financial Services,Financials
373,POOL,Pool Corporation,Consumer Discretionary
374,PPG,PPG Industries,Materials
375,PPL,PPL,Utilities
376,PFG,Principal Financial Group,Financials
377,PG,Procter & Gamble,Consumer Staples
378,PGR,Progressive Corporation,Financials
379,PLD,Prologis,Real Estate
380,PRU,Prudential Financial,Financials
381,PTC,PTC,Information Technology
382,PEG,Public Service Enterprise Group,Utilities
383,PSA,Public Storage,Real Estate
384,PHM,PulteGroup,Consumer Discretionary
385,PVH,PVH,Consumer Discretionary
386,QRVO,Qorvo,Information Technology
387,QCOM,Qualcomm,Information Technology
388,PWR,Quanta Services,Industrials
389,DGX,Quest Diagnostics,Health Care
390,RL,Ralph Lauren Corporation,Consumer Discretionary
391,RJF,Raymond James Financial,Financials
392,RTX,Raytheon Technologies,Industrials
393,O,Realty Income Corporation,Real Estate
394,REG,Regency Centers,Real Estate
395,REGN,Regeneron Pharmaceuticals,Health Care
396,RF,Regions Financial Corporation,Financials
397,RSG,Republic Services,Industrials
398,RMD,ResMed,Health Care
399,RHI,Robert Half International,Industrials
400,ROK,Rockwell Automation,Industrials
401,ROL,Rollins,Industrials
402,ROP,Roper Technologies,Industrials
403,ROST,Ross Stores,Consumer Discretionary
404,RCL,Royal Caribbean Group,Consumer Discretionary
405,SPGI,S&P Global,Financials
406,CRM,Salesforce,Information Technology
407,SBAC,SBA Communications,Real Estate
408,SLB,Schlumberger,Energy
409,STX,Seagate Technology,Information Technology
410,SEE,Sealed Air,Materials
411,SRE,Sempra Energy,Utilities
412,NOW,ServiceNow,Information Technology
413,SHW,Sherwin-Williams,Materials
414,SPG,Simon Property Group,Real Estate
415,SWKS,Skyworks Solutions,Information Technology
416,SNA,Snap-on,Industrials
417,SO,Southern Company,Utilities
418,LUV,Southwest Airlines,Industrials
419,SWK,Stanley Black & Decker,Industrials
420,SBUX,Starbucks,Consumer Discretionary
421,STT,State Street Corporation,Financials
422,STE,Steris,Health Care
423,SYK,Stryker Corporation,Health Care
424,SIVB,SVB Financial,Financials
425,SYF,Synchrony Financial,Financials
426,SNPS,Synopsys,Information Technology
427,SYY,Sysco,Consumer Staples
428,TMUS,T-Mobile US,Communication Services
429,TROW,T. Rowe Price,Financials
430,TTWO,Take-Two Interactive,Communication Services
431,TPR,Tapestry,Consumer Discretionary
432,TGT,Target Corporation,Consumer Discretionary
433,TEL,TE Connectivity,Information Technology
434,TDY,Teledyne Technologies,Industrials
435,TFX,Teleflex,Health Care
436,TER,Teradyne,Information Technology
437,TSLA,Tesla,Consumer Discretionary
438,TXN,Texas Instruments,Information Technology
439,TXT,Textron,Industrials
440,COO,The Cooper Companies,Health Care
441,HIG,The Hartford,Financials
442,HSY,The Hershey Company,Consumer Staples
443,MOS,The Mosaic Company,Materials
444,TRV,The Travelers Companies,Financials
445,DIS,The Walt Disney Company,Communication Services
446,TMO,Thermo Fisher Scientific,Health Care
447,TJX,TJX Companies,Consumer Discretionary
448,TSCO,Tractor Supply Company,Consumer Discretionary
449,TT,Trane Technologies,Industrials
450,TDG,TransDigm Group,Industrials
451,TRMB,Trimble,Information Technology
452,TFC,Truist Financial,Financials
453,TWTR,Twitter,Communication Services
454,TYL,Tyler Technologies,Information Technology
455,TSN,Tyson Foods,Consumer Staples
456,USB,U.S. Bancorp,Financials
457,UDR,UDR,Real Estate
458,ULTA,Ulta Beauty,Consumer Discretionary
459,UAA,Under Armour (Class A),Consumer Discretionary
460,UA,Under Armour (Class C),Consumer Discretionary
461,UNP,Union Pacific,Industrials
462,UAL,United Airlines,Industrials
463,UPS,United Parcel Service,Industrials
464,URI,United Rentals,Industrials
465,UNH,UnitedHealth Group,Health Care
466,UHS,Universal Health Services,Health Care
467,VLO,Valero Energy,Energy
468,VTR,Ventas,Real Estate
469,VRSN,Verisign,Information Technology
470,VRSK,Verisk Analytics,Industrials
471,VZ,Verizon Communications,Communication Services
472,VRTX,Vertex Pharmaceuticals,Health Care
473,VFC,VF Corporation,Consumer Discretionary
474,VIAC,ViacomCBS,Communication Services
475,VTRS,Viatris,Health Care
476,V,Visa,Information Technology
477,VNO,Vornado Realty Trust,Real Estate
478,VMC,Vulcan Materials,Materials
479,WRB,W. R. Berkley Corporation,Financials
480,GWW,W. W. Grainger,Industrials
481,WAB,Wabtec,Industrials
482,WBA,Walgreens Boots Alliance,Consumer Staples
483,WMT,Walmart,Consumer Staples
484,WM,Waste Management,Industrials
485,WAT,Waters Corporation,Health Care
486,WEC,WEC Energy Group,Utilities
487,WFC,Wells Fargo,Financials
488,WELL,Welltower,Real Estate
489,WST,West Pharmaceutical Services,Health Care
490,WDC,Western Digital,Information Technology
491,WU,Western Union,Information Technology
492,WRK,WestRock,Materials
493,WY,Weyerhaeuser,Real Estate
494,WHR,Whirlpool Corporation,Consumer Discretionary
495,WMB,Williams Companies,Energy
496,WLTW,Willis Towers Watson,Financials
497,WYNN,Wynn Resorts,Consumer Discretionary
498,XEL,Xcel Energy,Utilities
499,XLNX,Xilinx,Information Technology
500,XYL,Xylem,Industrials
501,YUM,Yum! Brands,Consumer Discretionary
502,ZBRA,Zebra Technologies,Information Technology
503,ZBH,Zimmer Biomet,Health Care
504,ZION,Zions Bancorp,Financials
505,ZTS,Zoetis,Health Care
