TICKER,Health_N,Health_P,Physical Diseases_N,Physical Diseases_P,Mental Diseases_N,Mental Diseases_P,Nutrition_N,Nutrition_P,Relationships_N,Relationships_P,Meaning_Joy_N,Meaning_Joy_P
EA,-3.85,3.69,-2.27,0.18,-0.08,0.05,0.0,0.0,-0.93,1.83,-0.57,1.63
ENPH,-0.45,0.2,-0.32,0.08,-0.06,0.01,0.0,0.01,-0.03,0.05,-0.04,0.05
EQIX,-0.36,0.46,-0.16,0.07,-0.08,0.02,0.0,0.0,-0.08,0.24,-0.04,0.12
EXC,-0.23,0.12,-0.13,0.1,-0.06,0.0,0.0,0.0,-0.01,0.0,-0.02,0.01
EXPD,-0.04,0.13,-0.04,0.05,-0.0,0.03,0.0,0.0,-0.0,0.02,-0.0,0.03
FFIV,-0.16,0.49,-0.07,0.05,-0.03,0.01,0.0,0.0,-0.04,0.05,-0.02,0.39
FB,-4.23,7.14,-1.16,0.35,-0.82,0.16,0.0,0.02,-1.04,5.06,-1.2,1.56
FAST,-0.1,0.27,-0.09,0.21,-0.0,0.0,0.0,0.0,-0.0,0.01,-0.01,0.05
FITB,-0.14,0.3,-0.09,0.07,-0.02,0.01,0.0,0.01,-0.02,0.08,-0.02,0.13
FISV,-0.05,0.25,-0.03,0.01,-0.01,0.0,0.0,0.0,-0.01,0.05,-0.01,0.19
FTNT,-0.1,0.61,-0.06,0.05,-0.02,0.01,0.0,0.0,-0.02,0.09,-0.0,0.47
FOX,-2.5,1.79,-1.46,0.12,-0.13,0.03,0.0,0.0,-0.73,0.55,-0.18,1.1
GILD,-0.71,8.16,-0.67,7.16,-0.03,0.7,0.0,0.0,-0.0,0.0,-0.0,0.3
HAS,-0.76,2.11,-0.38,0.14,-0.02,0.04,0.0,0.0,-0.2,0.61,-0.15,1.31
HSIC,-0.17,1.4,-0.14,0.93,-0.01,0.2,0.0,0.0,-0.01,0.06,-0.01,0.21
HOLX,-0.2,3.39,-0.18,2.75,-0.01,0.38,0.0,0.0,-0.01,0.08,-0.01,0.17
HST,-0.29,0.4,-0.21,0.01,-0.05,0.0,0.0,0.0,-0.01,0.08,-0.03,0.3
HBAN,-0.08,0.24,-0.05,0.07,-0.02,0.02,0.0,0.0,-0.0,0.04,-0.01,0.12
IDXX,-0.91,1.48,-0.87,0.38,-0.01,0.05,0.0,0.39,-0.0,0.2,-0.03,0.46
ILMN,-0.08,2.22,-0.07,1.53,-0.0,0.21,0.0,0.0,-0.0,0.26,-0.01,0.21
INCY,-0.87,7.12,-0.83,5.87,-0.04,0.87,0.0,0.0,-0.0,0.0,-0.0,0.38
INTC,-0.2,0.5,-0.12,0.16,-0.04,0.03,0.0,0.01,-0.03,0.19,-0.01,0.1
INTU,-0.03,0.35,-0.01,0.01,-0.0,0.0,0.0,0.0,-0.01,0.06,-0.0,0.27
ISRG,-0.25,3.35,-0.22,2.71,-0.01,0.44,0.0,0.0,-0.01,0.01,-0.0,0.2
IPGP,-0.1,0.17,-0.06,0.03,-0.02,0.01,0.0,0.0,-0.02,0.08,-0.01,0.05
JKHY,-0.1,0.12,-0.07,0.01,-0.01,0.0,0.0,0.0,-0.01,0.01,-0.01,0.09
KLAC,-0.15,0.21,-0.11,0.08,-0.02,0.01,0.0,0.01,-0.01,0.06,-0.01,0.04
LRCX,-0.03,0.05,-0.02,0.04,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.01
LKQ,-0.69,0.17,-0.52,0.05,-0.08,0.0,0.0,0.0,-0.02,0.01,-0.07,0.11
MKTX,-0.08,0.07,-0.03,0.02,-0.0,0.0,0.0,0.0,-0.02,0.01,-0.03,0.03
MTCH,-0.74,5.74,-0.01,0.01,-0.0,0.0,0.0,0.0,-0.73,4.6,-0.0,1.13
MCHP,-0.26,0.58,-0.14,0.23,-0.05,0.02,0.0,0.01,-0.05,0.19,-0.02,0.13
MU,-0.1,0.23,-0.05,0.08,-0.02,0.03,0.0,0.0,-0.02,0.08,-0.01,0.05
MSFT,-0.9,1.3,-0.37,0.15,-0.14,0.04,0.0,0.0,-0.2,0.79,-0.18,0.32
MRNA,-1.38,17.67,-1.37,16.05,-0.01,0.87,0.0,0.0,-0.0,0.0,-0.0,0.75
MPWR,-0.21,0.42,-0.11,0.11,-0.04,0.02,0.0,0.0,-0.04,0.16,-0.02,0.13
NDAQ,-0.05,0.08,-0.02,0.03,-0.0,0.0,0.0,0.0,-0.02,0.01,-0.01,0.04
NTAP,-0.15,0.29,-0.06,0.09,-0.02,0.01,0.0,0.0,-0.04,0.12,-0.03,0.07
NFLX,-2.37,1.7,-1.3,0.09,-0.15,0.02,0.0,0.0,-0.83,0.62,-0.08,0.97
NWL,-0.32,1.57,-0.28,0.88,-0.02,0.02,0.0,0.12,-0.0,0.16,-0.01,0.39
NLOK,-0.11,0.61,-0.06,0.06,-0.02,0.01,0.0,0.0,-0.02,0.07,-0.01,0.47
NVDA,-0.25,0.81,-0.17,0.27,-0.03,0.06,0.0,0.01,-0.03,0.22,-0.01,0.25
NXPI,-0.16,0.63,-0.11,0.19,-0.03,0.04,0.0,0.02,-0.02,0.21,-0.01,0.17
PAYX,-0.04,0.27,-0.03,0.07,-0.0,0.02,0.0,0.0,-0.0,0.03,-0.0,0.15
PYPL,-0.04,0.21,-0.03,0.01,-0.01,0.0,0.0,0.0,-0.0,0.04,-0.0,0.16
PBCT,-0.09,0.21,-0.06,0.02,-0.01,0.0,0.0,0.0,-0.01,0.05,-0.01,0.13
PFG,-0.16,0.54,-0.08,0.2,-0.03,0.05,0.0,0.01,-0.03,0.11,-0.02,0.17
PTC,-0.11,0.43,-0.06,0.16,-0.01,0.01,0.0,0.0,-0.03,0.1,-0.02,0.16
QRVO,-0.31,0.49,-0.15,0.06,-0.07,0.03,0.0,0.0,-0.06,0.26,-0.03,0.14
QCOM,-0.28,0.95,-0.15,0.32,-0.06,0.06,0.0,0.0,-0.04,0.34,-0.03,0.23
REGN,-0.91,7.58,-0.81,6.49,-0.09,0.64,0.0,0.0,-0.0,0.01,-0.0,0.44
ROST,-0.13,0.95,-0.08,0.49,-0.03,0.01,0.0,0.01,-0.0,0.02,-0.02,0.43
SBAC,-0.7,2.23,-0.29,0.16,-0.25,0.07,0.0,0.0,-0.11,1.71,-0.05,0.28
STX,-0.11,0.33,-0.05,0.13,-0.02,0.01,0.0,0.0,-0.03,0.13,-0.02,0.05
SWKS,-0.29,0.41,-0.15,0.05,-0.08,0.02,0.0,0.0,-0.05,0.24,-0.02,0.11
SIVB,-0.07,0.15,-0.04,0.02,-0.01,0.0,0.0,0.0,-0.01,0.03,-0.01,0.09
SNPS,-0.14,0.38,-0.09,0.09,-0.02,0.02,0.0,0.0,-0.02,0.09,-0.01,0.19
TMUS,-0.73,1.64,-0.39,0.14,-0.17,0.09,0.0,0.0,-0.14,1.07,-0.04,0.35
TROW,-0.17,0.41,-0.09,0.15,-0.01,0.03,0.0,0.02,-0.05,0.08,-0.02,0.12
TTWO,-2.91,4.5,-1.38,1.0,-0.1,0.05,0.0,0.0,-0.87,1.83,-0.56,1.61
TER,-0.38,0.13,-0.31,0.04,-0.04,0.0,0.0,0.02,-0.0,0.03,-0.03,0.04
TSLA,-1.04,0.49,-0.74,0.05,-0.17,0.01,0.0,0.01,-0.02,0.1,-0.11,0.33
TXN,-0.12,0.22,-0.06,0.05,-0.02,0.01,0.0,0.01,-0.03,0.09,-0.01,0.05
TSCO,-0.13,0.53,-0.11,0.05,-0.01,0.01,0.0,0.01,-0.0,0.04,-0.01,0.42
TRMB,-0.27,1.11,-0.21,0.22,-0.02,0.07,0.0,0.71,-0.01,0.04,-0.03,0.07
ULTA,-0.26,0.98,-0.23,0.51,-0.02,0.02,0.0,0.0,-0.0,0.0,-0.0,0.45
VRSN,-0.17,0.19,-0.06,0.05,-0.02,0.01,0.0,0.0,-0.05,0.06,-0.03,0.07
VRSK,-0.17,0.25,-0.09,0.07,-0.02,0.0,0.0,0.01,-0.03,0.02,-0.03,0.15
VRTX,-1.6,7.99,-1.56,7.55,-0.04,0.31,0.0,0.0,-0.0,0.01,-0.0,0.12
WBA,-0.34,1.38,-0.28,0.76,-0.03,0.12,0.0,0.07,-0.02,0.01,-0.01,0.42
WDC,-0.16,0.39,-0.07,0.13,-0.02,0.03,0.0,0.0,-0.04,0.12,-0.02,0.1
XLNX,-0.21,0.48,-0.1,0.12,-0.04,0.03,0.0,0.0,-0.05,0.18,-0.03,0.14
ZBRA,-0.15,0.33,-0.12,0.08,-0.01,0.02,0.0,0.0,-0.02,0.1,-0.01,0.13
ZION,-0.1,0.27,-0.06,0.09,-0.01,0.02,0.0,0.01,-0.01,0.06,-0.01,0.09
