TICKER,Millennials,Most Wanted Workforce,Society First,Knowledge First,Health First,Net Impact Ratio
KLAC,0.35,0.086,0.086,0.105,0.5720000000000001,0.165
LRCX,0.307,0.063,0.063,0.119,0.327,0.157
LKQ,0.4429999999999999,0.048,0.048,0.21,0.396,0.171
MKTX,0.426,0.304,0.304,0.2019999999999999,0.7609999999999999,0.32
MTCH,0.6459999999999999,0.535,0.535,0.645,0.509,0.647
MCHP,0.439,0.191,0.191,0.212,0.648,0.282
MU,0.335,0.057,0.057,0.098,0.431,0.166
MSFT,0.3939999999999999,0.183,0.183,0.201,0.69,0.278
MRNA,0.7509999999999999,0.632,0.632,-0.0279999999999999,0.726,0.726
MPWR,0.525,0.321,0.321,0.296,0.758,0.377
NDAQ,0.402,0.275,0.275,0.152,0.764,0.287
NTAP,0.312,0.129,0.129,0.094,0.632,0.1889999999999999
NFLX,0.375,-0.019,-0.019,0.135,0.588,0.183
NWL,0.326,-0.047,-0.047,-0.051,0.3339999999999999,0.133
NLOK,0.486,0.365,0.365,0.395,0.757,0.397
NVDA,0.4379999999999999,0.2339999999999999,0.2339999999999999,0.2019999999999999,0.6940000000000001,0.304
NXPI,0.493,0.28,0.28,0.255,0.736,0.345
PAYX,0.607,0.521,0.521,0.596,0.631,0.5710000000000001
PYPL,0.375,0.22,0.22,0.455,0.122,0.316
PBCT,0.457,0.285,0.285,0.497,0.344,0.373
PFG,0.513,0.355,0.355,0.508,0.612,0.432
PTC,0.368,0.182,0.182,0.129,0.6920000000000001,0.2269999999999999
QRVO,0.526,0.33,0.33,0.289,0.794,0.38
QCOM,0.508,0.349,0.349,0.297,0.767,0.3979999999999999
REGN,0.5920000000000001,0.41,0.41,-0.325,0.6,0.5529999999999999
ROST,0.319,-0.051,-0.051,0.01,-0.001,0.121
SBAC,0.611,0.41,0.41,0.419,0.8270000000000001,0.487
STX,0.371,0.149,0.149,0.165,0.536,0.238
SWKS,0.59,0.423,0.423,0.381,0.8240000000000001,0.461
SIVB,0.2789999999999999,0.0969999999999999,0.0969999999999999,0.262,0.4039999999999999,0.1889999999999999
SNPS,0.4,0.218,0.218,0.176,0.698,0.263
TMUS,0.556,0.3379999999999999,0.3379999999999999,0.365,0.782,0.421
TROW,0.382,0.1689999999999999,0.1689999999999999,0.344,0.424,0.2739999999999999
TTWO,0.359,0.003,0.003,0.099,0.5489999999999999,0.2189999999999999
TER,0.648,0.471,0.471,0.4589999999999999,0.862,0.489
TSLA,0.55,0.241,0.241,0.435,0.421,0.359
TXN,0.4629999999999999,0.241,0.241,0.226,0.713,0.297
TSCO,0.29,-0.091,-0.091,0.128,-0.05,0.08
TRMB,0.498,0.256,0.256,0.282,0.672,0.3389999999999999
ULTA,0.293,-0.085,-0.085,-0.02,-0.023,0.1009999999999999
VRSN,0.342,0.171,0.171,0.184,0.5760000000000001,0.24
VRSK,0.5329999999999999,0.375,0.375,0.392,0.769,0.411
VRTX,0.3979999999999999,0.103,0.103,-1.172,0.181,0.337
WBA,0.288,-0.073,-0.073,-0.092,-0.0289999999999999,0.135
WDC,0.4039999999999999,0.216,0.216,0.18,0.6809999999999999,0.2739999999999999
XLNX,0.512,0.332,0.332,0.275,0.7809999999999999,0.374
ZBRA,0.3979999999999999,0.133,0.133,0.192,0.65,0.207
ZION,0.322,0.131,0.131,0.325,0.309,0.235
